#date,total,ml_rejected,threshold,ghost_total,ghost_movers,total_movers,promoted,atticpossible,recoveredmovers,seeing
2015-06-13 00:00:00,3098.0,2681.0,0.436,0.0,0.0,37.0,3,1,34,3.58733253
2015-06-14 00:00:00,5520.0,4939.0,0.436,109.0,28.0,174.0,2,1,132,4.4303063
2015-06-15 00:00:00,107.0,88.0,0.436,8.0,4.0,9.0,0,0,5,4.22700784
2015-06-16 00:00:00,3505.0,3122.0,0.436,87.0,13.0,135.0,6,2,110,4.44661662
2015-06-17 00:00:00,3884.0,3637.0,0.436,71.0,27.0,136.0,5,1,101,5.09811889
2015-06-18 00:00:00,4046.0,3529.0,0.436,102.0,38.0,211.0,6,0,164,3.81681876
2015-06-19 00:00:00,3772.0,3023.0,0.436,175.0,69.0,321.0,5,4,235,3.39795737
2015-06-20 00:00:00,2857.0,2245.0,0.436,109.0,50.0,322.0,6,27,259,3.31126675
2015-06-21 00:00:00,5846.0,5033.0,0.436,121.0,29.0,168.0,7,2,131,3.60077843
2015-06-22 00:00:00,9016.0,8932.0,0.436,20.0,9.0,49.0,2,3,32,7.32114695
2015-06-23 00:00:00,4009.0,3434.0,0.436,134.0,18.0,151.0,3,0,123,3.47308541
2015-06-24 00:00:00,3514.0,2812.0,0.436,146.0,75.0,450.0,12,30,360,4.02105574
2015-06-25 00:00:00,1991.0,1614.0,0.436,67.0,24.0,160.0,2,0,129,4.04777256
2015-06-26 00:00:00,2921.0,2260.0,0.436,158.0,76.0,359.0,9,0,266,3.93909691
2015-06-27 00:00:00,20712.0,17903.0,0.436,687.0,43.0,172.0,6,1,105,3.12820334
2015-06-28 00:00:00,7588.0,6061.0,0.436,183.0,52.0,292.0,12,8,217,3.24481381
2015-06-29 00:00:00,8348.0,7367.0,0.436,294.0,53.0,167.0,1,0,95,3.65041759
2015-06-30 00:00:00,6963.0,5646.0,0.436,283.0,83.0,451.0,9,1,354,3.41963721
2015-07-01 00:00:00,4093.0,3504.0,0.436,185.0,21.0,113.0,11,0,87,3.4492652
2015-07-02 00:00:00,603.0,412.0,0.436,43.0,18.0,90.0,3,0,60,3.10931928
2015-07-03 00:00:00,5944.0,4916.0,0.436,290.0,31.0,231.0,10,1,187,3.19178076
